,congressional_district,zip_codes
0,1,"[89439, 95568, 95602, 95603, 95648, 95658, 95681, 95701, 95703, 95713, 95714, 95715, 95717, 95722, 95728, 95736, 95901, 95910, 95914, 95915, 95916, 95917, 95920, 95922, 95923, 95926, 95928, 95930, 95934, 95936, 95938, 95941, 95942, 95943, 95944, 95945, 95946, 95947, 95948, 95949, 95951, 95954, 95956, 95959, 95960, 95963, 95965, 95966, 95968, 95969, 95970, 95971, 95973, 95974, 95975, 95977, 95978, 95981, 95983, 95984, 95986, 95988, 96001, 96002, 96003, 96006, 96007, 96008, 96009, 96011, 96013, 96014, 96015, 96016, 96017, 96019, 96020, 96021, 96022, 96023, 96025, 96027, 96028, 96029, 96031, 96032, 96033, 96034, 96035, 96037, 96038, 96039, 96040, 96044, 96047, 96049, 96050, 96051, 96054, 96055, 96056, 96057, 96058, 96059, 96061, 96062, 96063, 96064, 96065, 96067, 96068, 96069, 96071, 96073, 96074, 96075, 96076, 96080, 96084, 96085, 96086, 96087, 96088, 96090, 96092, 96094, 96096, 96097, 96101, 96103, 96104, 96105, 96106, 96108, 96109, 96110, 96111, 96112, 96113, 96114, 96115, 96116, 96117, 96118, 96119, 96121, 96122, 96123, 96124, 96125, 96126, 96128, 96129, 96130, 96132, 96134, 96135, 96136, 96137, 96161, 97635]"
1,2,"[94515, 94901, 94903, 94904, 94920, 94922, 94923, 94924, 94925, 94929, 94930, 94931, 94933, 94937, 94938, 94939, 94940, 94941, 94945, 94946, 94947, 94949, 94950, 94951, 94952, 94954, 94956, 94957, 94960, 94963, 94964, 94965, 94970, 94971, 94972, 94973, 95401, 95403, 95404, 95407, 95410, 95412, 95415, 95417, 95420, 95421, 95425, 95427, 95428, 95429, 95430, 95432, 95436, 95437, 95441, 95444, 95445, 95446, 95448, 95449, 95450, 95454, 95456, 95459, 95460, 95462, 95463, 95465, 95466, 95468, 95469, 95470, 95471, 95472, 95482, 95486, 95488, 95490, 95492, 95494, 95497, 95501, 95503, 95511, 95514, 95519, 95521, 95524, 95525, 95526, 95527, 95528, 95531, 95536, 95537, 95540, 95542, 95543, 95545, 95546, 95547, 95548, 95549, 95550, 95551, 95552, 95553, 95554, 95555, 95556, 95558, 95559, 95560, 95562, 95563, 95564, 95565, 95567, 95569, 95570, 95571, 95573, 95585, 95587, 95589, 95595, 96010, 96024, 96041, 96046, 96048, 96052, 96076, 96091, 96093]"
2,3,"[94510, 94512, 94533, 94534, 94535, 94571, 94585, 94591, 95422, 95423, 95443, 95451, 95453, 95457, 95458, 95464, 95469, 95485, 95493, 95605, 95606, 95607, 95612, 95615, 95616, 95618, 95620, 95625, 95626, 95627, 95632, 95637, 95639, 95641, 95645, 95653, 95659, 95668, 95673, 95674, 95679, 95680, 95687, 95688, 95690, 95691, 95692, 95694, 95695, 95697, 95698, 95757, 95758, 95776, 95823, 95831, 95832, 95834, 95835, 95837, 95843, 95901, 95903, 95912, 95914, 95918, 95919, 95922, 95925, 95930, 95932, 95935, 95937, 95939, 95941, 95948, 95950, 95951, 95953, 95955, 95957, 95960, 95961, 95962, 95963, 95966, 95970, 95977, 95979, 95981, 95982, 95987, 95988, 95991, 95993]"
3,4,"[93601, 93602, 93604, 93605, 93610, 93614, 93619, 93621, 93623, 93626, 93628, 93633, 93634, 93636, 93638, 93641, 93643, 93644, 93645, 93651, 93653, 93657, 93664, 93667, 93669, 93675, 95222, 95223, 95224, 95225, 95226, 95228, 95230, 95232, 95233, 95245, 95246, 95247, 95248, 95249, 95250, 95251, 95252, 95254, 95255, 95257, 95305, 95306, 95310, 95311, 95314, 95318, 95321, 95325, 95327, 95329, 95335, 95338, 95345, 95346, 95364, 95369, 95370, 95372, 95375, 95379, 95383, 95389, 95601, 95603, 95604, 95614, 95619, 95623, 95626, 95629, 95631, 95633, 95634, 95635, 95636, 95640, 95642, 95646, 95648, 95650, 95651, 95658, 95661, 95663, 95664, 95665, 95666, 95667, 95668, 95669, 95672, 95675, 95677, 95678, 95681, 95682, 95684, 95685, 95689, 95699, 95709, 95713, 95717, 95720, 95721, 95724, 95726, 95728, 95735, 95746, 95747, 95762, 95765, 96120, 96140, 96141, 96142, 96143, 96145, 96146, 96148, 96150, 96155, 96161]"
4,5,"[94503, 94508, 94510, 94515, 94525, 94534, 94547, 94553, 94558, 94559, 94564, 94567, 94569, 94572, 94573, 94574, 94576, 94589, 94590, 94591, 94592, 94599, 94803, 94806, 94928, 94931, 94951, 94952, 94954, 95401, 95403, 95404, 95405, 95407, 95409, 95426, 95431, 95435, 95439, 95442, 95451, 95452, 95453, 95457, 95461, 95467, 95472, 95476, 95492]"
5,6,"[95605, 95618, 95620, 95621, 95652, 95660, 95673, 95691, 95758, 95811, 95814, 95815, 95816, 95817, 95818, 95819, 95820, 95821, 95822, 95823, 95824, 95825, 95826, 95828, 95829, 95831, 95832, 95833, 95834, 95835, 95837, 95838, 95841, 95842, 95843, 95864]"
6,7,"[95608, 95610, 95621, 95624, 95628, 95630, 95632, 95638, 95655, 95662, 95670, 95683, 95693, 95742, 95757, 95758, 95821, 95823, 95825, 95826, 95827, 95828, 95829, 95830, 95841, 95842, 95864]"
7,8,"[89010, 89019, 89060, 89061, 91737, 91739, 91759, 91784, 92242, 92252, 92256, 92267, 92268, 92277, 92278, 92280, 92284, 92285, 92301, 92304, 92305, 92307, 92308, 92309, 92310, 92311, 92314, 92315, 92321, 92322, 92325, 92327, 92328, 92332, 92333, 92336, 92338, 92339, 92341, 92342, 92344, 92345, 92346, 92347, 92352, 92356, 92358, 92359, 92363, 92364, 92365, 92368, 92371, 92372, 92373, 92374, 92378, 92382, 92384, 92385, 92386, 92389, 92391, 92392, 92394, 92395, 92397, 92398, 92399, 92404, 92407, 92410, 93512, 93513, 93514, 93516, 93517, 93522, 93526, 93527, 93529, 93530, 93541, 93545, 93546, 93549, 93555, 93558, 93562, 93592, 96107, 96133]"
8,9,"[94505, 94509, 94511, 94513, 94514, 94531, 94548, 94561, 95202, 95203, 95204, 95205, 95206, 95207, 95209, 95210, 95211, 95212, 95215, 95219, 95220, 95227, 95230, 95231, 95234, 95236, 95237, 95240, 95242, 95258, 95304, 95320, 95330, 95336, 95361, 95366, 95391, 95632, 95641, 95686, 95757]"
9,10,"[95230, 95304, 95307, 95313, 95316, 95319, 95320, 95323, 95326, 95328, 95329, 95330, 95336, 95337, 95350, 95351, 95354, 95355, 95356, 95357, 95358, 95360, 95361, 95363, 95366, 95367, 95368, 95376, 95377, 95380, 95382, 95385, 95386, 95387]"
